SKU,TITLE,DESCRIPTION,WEIGHT,PRICE,CATEGORY,COLORE,TAGLIA,FREESHIPPING,GROUPBY,VISITURL,ENABLEBUYBUTTON,ENABLEVISITBUTTON,DISCOUNTEDPRICE
601_Nero_XS,Boxer Parigamba - XS,"Boxer Parigamba    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo uomo hi-tech,BLACK,XS,NO,601,http://moluko.com,yes,no,
600D_White_L,Slip Donna - L,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,WHITE,L,NO,600D,http://moluko.com,yes,no,
600D_White_M,Slip Donna - M,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,WHITE,M,NO,600D,http://moluko.com,yes,no,
600D_White_S,Slip Donna - S,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,WHITE,S,NO,600D,http://moluko.com,yes,no,
600D_Bicolor_L,Slip Donna - L,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,BICOLOR,L,NO,600D,http://moluko.com,yes,no,
600D_Bicolor_M,Slip Donna - M,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,BICOLOR,M,NO,600D,http://moluko.com,yes,no,
600D_Bicolor_S,Slip Donna - S,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,BICOLOR,S,NO,600D,http://moluko.com,yes,no,
600D_Nero_L,Slip Donna - L,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,BLACK,L,NO,600D,http://moluko.com,yes,no,
600D_Nero_M,Slip Donna - M,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,BLACK,M,NO,600D,http://moluko.com,yes,no,
600D_Nero_S,Slip Donna - S,"Slip Donna    Composizione : POLIPROPILENE 80%, POLIAMMIDE 15%, ELASTAM 5%",0.171,20,Intimo donna hi-tech,BLACK,S,NO,600D,http://moluko.com,yes,no,
104_Nero_L.XL,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - L/XL,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo uomo hi-tech in carbonio/Carbon,BLACK,L/XL,NO,104,http://moluko.com,yes,no,
104_Nero_S.M,Maglia intimo sportivo carbonio carbon sport underware hi tech manica lunga lupetto  - S/M,"Maglietta manica lunga lupetto   Composizione :POLIPROPILENE 80%, POLIAMMIDE 12%, ELASTAM 4%, CARBONIO 4%",0.171,49,Intimo uomo hi-tech in carbonio/Carbon,BLACK,S/M,NO,104,http://moluko.com,yes,no,
